Genotype,swelling index,swelling power,WAC,Bulk Density
NR17C2aF103P001,2.14,7.52,374,0.861
NR17C2aF10P001,2.227,8.475,364.5,0.904
NR17C2aF10P002,2.047,9.335,381,0.937
NR17C2aF10P006,2.082,7.86,464.5,0.858
NR17C2aF10P016,1.936,9.35,452,0.909
NR17C2aF10P017,,,427.5,0.791
NR17C2aF10P021,2.123,9.245,534.5,0.938
NR17C2aF10P025,1.95,6.935,397,0.858
NR17C2aF114P002,,,368,0.882
NR17C2aF114P004,1.581,10.015,348.5,0.955
NR17C2aF120P002,2.017,7.935,428,0.857
NR17C2aF121P001,2.257,7.55,323.5,0.882
NR17C2aF12P001,1.817,8.675,406.5,0.88
NR17C2aF13P001,2.349,8.265,371,0.909
NR17C2aF14P014,2.086,9.45,452,0.816
NR17C2aF14P016,2.392,8.45,352,0.936
NR17C2aF15P003,2.409,8.35,345,0.917
NR17C2aF15P011,1.875,8.89,470.5,0.881
NR17C2aF15P016,1.814,7.975,412,0.884
NR17C2aF15P022,2.081,7.89,423,0.769
NR17C2aF15P032,2.001,7.64,426.5,0.828
NR17C2aF15P041,2.16,9.005,382.5,0.934
NR17C2aF16P003,1.933,8.02,345,0.868
NR17C2aF16P004,2.102,9.53,452.5,0.889
NR17C2aF16P010,2.38,7.12,345.5,0.862
NR17C2aF16P013,1.734,8.5025,400,0.881
NR17C2aF18P003,1.814,8.45,397.5,0.908
NR17C2aF18P008,2.175,7.215,383,0.882
NR17C2aF18P015,2.221,8.605,444,0.937
NR17C2aF18P018,1.999,8.165,407.5,0.938
NR17C2aF1P003,1.965,6.7,405,0.906
NR17C2aF1P006,1.911,6.385,482,0.937
NR17C2aF1P009,2.263,8.38,387,0.856
NR17C2aF21P004,1.563,9.345,364.5,0.909
NR17C2aF27P001,1.973,6.99,388.5,0.858
NR17C2aF28P002,2.263,7.56,429.5,0.856
NR17C2aF29P001,2.247,8.165,436,0.88
NR17C2aF33P002,2.071,8.17,379.5,0.866
NR17C2aF33P003,2.221,8.28,395,0.88
NR17C2aF35P004,2.157,8.695,414.5,0.936
NR17C2aF37P001,2,8.44,444.5,0.833
NR17C2aF39P002,1.756,8.05,341,0.909
NR17C2aF3P010,1.719,8.23,381.5,0.857
NR17C2aF40P004,2.191,8.625,403.5,0.909
NR17C2aF46P012,2,9.49,404.5,0.938
NR17C2aF49P006,2.305,8.425,433,0.88
NR17C2aF54P001,1.942,9.05,407,0.909
NR17C2aF54P002,1.833,9.11,397.5,0.925
NR17C2aF54P010,2.097,7.2,494.5,0.92
NR17C2aF54P012,2.1,9.04,422.5,0.882
NR17C2aF54P015,1.978,6.59,388,0.873
NR17C2aF5P017,2.228,7.15,451.5,0.754
NR17C2aF5P022,1.8,8.315,386.5,0.788
NR17C2aF5P026,1.57,7.92,417,0.881
NR17C2aF60P003,1.657,9.405,327.5,0.952
NR17C2aF60P009,2.017,7.385,471,0.908
NR17C2aF60P010,2.03,7.29,405,0.851
NR17C2aF60P012,1.968,7.605,354.5,0.968
NR17C2aF60P015,2.356,8.33,409.5,0.908
NR17C2aF60P020,2.31,8.05,386,0.909
NR17C2aF61P002,1.821,9.24,382,0.908
NR17C2aF61P003,1.766,9.095,391,0.877
NR17C2aF61P004,1.932,7.71,373.5,0.923
NR17C2aF61P006,2.043,8.86,438,0.857
NR17C2aF61P007,2.391,8.08,421,0.907
NR17C2aF61P008,2.258,8.26,460.5,0.904
NR17C2aF61P009,2.314,7.81,434,0.882
NR17C2aF61P010,2.204,7.615,477.5,0.936
NR17C2aF61P011,2.324,8.525,386.5,0.916
NR17C2aF61P013,2.049,8.035,470.5,0.881
NR17C2aF61P015,2,8.93,510.5,0.834
NR17C2aF61P016,2.118,8.165,424,0.857
NR17C2aF62P015,1.772,9.245,355.5,0.937
NR17C2aF62P020,2.065,7.74,440,0.938
NR17C2aF62P024,2.226,8.315,400.5,0.862
NR17C2aF62P027,1.944,8.76,328.5,0.937
NR17C2aF65P009,2.189,7.31,432,0.794
NR17C2aF65P014,1.831,10.535,438.5,0.857
NR17C2aF65P017,2.017,8.13,356.5,0.856
NR17C2aF65P020,2.049,9.535,524,0.881
NR17C2aF65P027,2.208,8.6075,411.75,0.909
NR17C2aF65P031,1.858,6.97,436,0.834
NR17C2aF66P002,2.167,8.145,416,0.771
NR17C2aF66P003,2.099,8.065,489,0.937
NR17C2aF69P009,1.813,7.72,463,0.882
NR17C2aF6P006,1.817,8.36,407,0.887
NR17C2aF6P007,2.006,7.425,375,0.772
NR17C2aF6P030,2.017,7.995,420.5,0.908
NR17C2aF6P044,1.842,10.325,540.5,0.867
NR17C2aF6P045,2.039,8.295,450.5,0.833
NR17C2aF6P046,1.86,7.935,439.5,0.789
NR17C2aF70P001,2.034,9.055,360.5,0.856
NR17C2aF70P008,2.153,7.86,384.5,0.788
NR17C2aF71P001,2.052,7.12,405,0.821
NR17C2aF79P001,1.667,8.16,414.5,0.961
NR17C2aF79P007,2.287,6.91,378.5,0.889
NR17C2aF79P008,2.2,7.3,452.5,0.833
NR17C2aF79P016,1.705,8.505,398.5,1.015
NR17C2aF7P007,1.909,10.16,440,0.857
NR17C2aF7P008,1.627,8.925,367.5,0.908
NR17C2aF7P011,2.202,8.66,391,0.905
NR17C2aF7P013,2.213,8.14,428,0.872
NR17C2aF7P017,1.75,7.99,436.5,0.881
NR17C2aF7P018,2.038,8.785,383,0.962
NR17C2aF7P023,2.305,7.6,416.5,0.91
NR17C2aF7P030,2.338,8.31,435,0.877
NR17C2aF7P034,1.812,8.875,457.5,0.926
NR17C2aF7P036,2.018,9.095,321,0.909
NR17C2aF7P043,2,9.17,374.5,0.907
NR17C2aF7P044,2.079,8.045,388.5,0.706
NR17C2aF7P045,1.926,8.645,438.5,0.884
NR17C2aF7P052,1.981,8.345,469.5,0.93
NR17C2aF7P062,2.241,9.365,361.5,0.908
NR17C2aF7P065,2.593,8.875,336,0.881
NR17C2aF7P067,2.158,6.52,455,0.908
NR17C2aF7P070,2.001,8.61,341.5,0.998
NR17C2aF7P071,2.224,7.795,377.5,0.852
NR17C2aF82P002,1.998,8.145,371.5,0.886
NR17C2aF82P005,2.266,7.7475,431,0.854
NR17C2aF82P008,2.529,7.27,480,0.811
NR17C2aF83P010,2.22,8.065,360.5,0.934
NR17C2aF83P018,2.102,8.59,367.5,1
NR17C2aF84P004,2.293,8.14,396.5,0.788
NR17C2aF87P010,1.833,7.835,381.5,0.857
NR17C2aF87P011,2.528,7.985,415.5,0.909
NR17C2aF89P001,2.769,7.69,342,0.937
NR17C2aF89P002,2.233,7.225,427,0.884
NR17C2aF89P003,2.014,8.035,405,0.844
NR17C2aF89P009,1.762,9.155,414,0.881
NR17C2aF89P010,2.098,8.765,452.5,0.908
NR17C2aF89P013,1.524,7.73,324,0.909
NR17C2aF89P014,1.948,7.455,417.5,0.958
NR17C2aF89P018,2.193,8.47,447,0.896
NR17C2aF89P020,1.82,8.75,377.5,0.964
NR17C2aF89P021,2.167,7.465,346.5,0.9
NR17C2aF89P028,2.447,9.245,394.5,0.905
NR17C2aF89P041,2.057,8.035,411.5,0.772
NR17C2aF89P045,2.5,6.78,425.5,0.969
NR17C2aF89P050,1.797,7.09,416,0.937
NR17C2aF89P054,1.78,8.575,373.5,0.909
NR17C2aF89P056,2.42,6.855,388,0.824
NR17C2aF89P058,2.26,8.335,311.5,0.908
NR17C2aF89P067,1.967,9.71,493,0.884
NR17C2aF89P069,2.439,8.075,348.5,0.983
NR17C2aF89P071,2.12,8.225,429.5,0.778
NR17C2aF89P084,2.001,7.975,411.5,0.883
NR17C2aF89P088,1.989,8.41,363,0.908
NR17C2aF89P091,1.709,9.03,467.5,0.933
NR17C2aF89P096,1.872,7.66,353.5,0.833
NR17C2aF89P102,1.986,7.79,315,0.909
NR17C2aF90P001,1.939,7.875,434.5,0.88
NR17C2aF90P007,1.93,8.33,329.5,0.934
NR17C2aF91P001,2.217,7.855,392.5,0.909
NR17C2aF91P004,1.689,11.21,347,0.908
NR17C2aF91P006,2.2,8.88,466.5,0.851
NR17C2aF91P008,2.445,8.35,413,0.852
NR17C2aF91P011,1.854,8.56,371,0.909
NR17C2aF92P001,1.88,7.875,370.5,0.907
NR17C2aF92P002,1.949,8.975,392.5,0.908
NR17C2aF92P003,2.781,9.435,484.5,0.858
NR17C2aF92P005,2.039,7.115,457,0.858
NR17C2aF93P009,1.985,8.1925,403,0.906
NR17C2aF93P010,1.862,8.8,502,0.879
NR17C2aF94P013,2.21,8.11,457.5,0.857
NR17C2aF95P003,2.044,7.135,372.5,0.996
NR17C2aF95P011,1.668,9.79,399,0.867
NR17C2aF95P015,2.119,8.025,405,0.953
NR17C2aF95P021,2.44,7.835,360.5,0.909
NR17C2aF96P004,2.119,7.65,443,0.869
NR17C2aF97P002,2.14,8.59,424.5,0.93
NR17C2aF99P002,1.957,9.57,339,0.938
NR17C2aF9P010,1.831,8.35,422.5,0.831
NR17C2aF9P013,1.739,8.515,425.5,0.886
IITA-TMS-IBA00070,2.06,8.74,403.5,0.884
IITA-TMS-IBA30572,2.001,8.11,400.5,0.908
NR8082,2.167,6.665,444,0.936
TMEB419,1.84,7.99,442.5,0.934
TMEB7,1.713,10.21,567,0.908