genotype,location,year,WAC,Swelling.Index..final.initial.,SP,SOLUBILITY,Dry.Matter,Moisture,Bulk.Density..g.ml.
NR17C2aF103P001,Otobi,2020,479,2.015,7.24,2,92.705,7.295,0.93
IITA-TMS-IBA-30572,Otobi,2020,368,1.91,6.775,2,91.02,8.98,0.905
NR17C2aF10P002,Otobi,2020,550.5,2.1,6.895,5,92.43,7.57,0.92
NR17C2aF10P006,Otobi,2020,450,2.2,6.835,1,92.225,7.775,0.91
NR17C2aF10P017,Otobi,2020,538,2.09,7.475,3,92.15,7.85,0.855
NR17C2aF10P025,Otobi,2020,392.5,1.92,7.445,4,92.815,7.185,0.83
NR17C2aF114P002,Otobi,2020,417,2.02,6.77,5,90.61,9.39,0.825
NR17C2aF121P001,Otobi,2020,531.5,2.235,7.265,1,92.63,7.37,0.88
NR17C2aF12P001,Otobi,2020,515,2.31,7.17,3,90.91,9.09,0.875
NR17C2aF13P001,Otobi,2020,476.5,1.92,7.335,1.5,92.7,7.3,0.77
NR17C2aF15P016,Otobi,2020,473.5,2.31,6.1,4,90.61,9.39,0.765
NR17C2aF16P013,Otobi,2020,407.5,2.28,6.61,4,91.13,8.87,0.905
NR17C2aF21P004,Otobi,2020,420.5,2.38,7.05,3,91.12,8.88,0.855
NR17C2aF28P002,Otobi,2020,478.5,1.97,7.44,2,92.335,7.665,0.84
NR17C2aF33P002,Otobi,2020,554.5,2.17,7.13,2,92.03,7.97,0.805
NR17C2aF54P010,Otobi,2020,457.5,2.31,7.295,1.5,92.315,7.685,0.855
NR17C2aF60P009,Otobi,2020,445,2.085,7.225,3,93.145,6.855,0.84
NR17C2aF61P003,Otobi,2020,440.5,1.885,7.145,1.5,92.33,7.67,0.88
NR17C2aF62P020,Otobi,2020,479,2.38,7.17,1,91.345,8.655,0.855
NR17C2aF62P027,Otobi,2020,457.5,1.925,6.865,3,93.12,6.88,0.94
NR17C2aF65P017,Otobi,2020,413.5,1.92,7.41,1,92.135,7.865,0.865
NR17C2aF65P027,Otobi,2020,477,2.015,6.545,1,92.13,7.87,0.785
NR17C2aF6P044,Otobi,2020,497,2.49,6.865,1,92.515,7.485,0.815
NR17C2aF70P007,Otobi,2020,473,2.02,7.125,2,92.445,7.555,0.87
NR17C2aF79P005,Otobi,2020,495,2.38,7.26,1,93.21,6.79,0.875
NR17C2aF7P007,Otobi,2020,535,2.26,6.935,3,90.25,9.75,0.825
NR17C2aF7P062,Otobi,2020,453.5,1.985,6.885,2,92.125,7.875,0.88
NR17C2aF81P002,Otobi,2020,483.5,2.05,6.9,2,92.545,7.455,0.755
NR17C2aF83P018,Otobi,2020,462.5,2.38,6.905,1,92.035,7.965,0.865
NR17C2aF89P003,Otobi,2020,462.5,2.42,7.015,3,92.925,7.075,0.815
NR17C2aF89P028,Otobi,2020,505.5,1.885,6.985,5,92.325,7.675,0.875
NR17C2aF89P084,Otobi,2020,451.5,2.24,6.055,4,92.91,7.09,0.84
NR17C2aF90P008,Otobi,2020,407,2.26,7.07,2,91.035,8.965,0.785
NR17C2aF97P002,Otobi,2020,420.5,2.38,7.03,2,92.63,7.37,0.855
NR17C2aF99P002,Otobi,2020,507.5,2.4,7.425,2,91.835,8.165,0.84
TMEB419,Otobi,2020,428,2.09,6.875,2,91.91,8.09,0.865
TMEB7,Otobi,2020,416.5,2,7.08,1,91.725,8.275,0.84
NR17C2aF14P016,Otobi,2020,428.5,1.915,6.785,2,92.03,7.97,0.855
NR17C2aF60P006,Otobi,2020,437,1.67,6.885,2.5,92.74,7.26,0.89
NR17C2aF62P008,Otobi,2020,501.5,1.78,7.505,5,93.025,6.975,0.685
NR17C2aF87P001,Otobi,2020,501,1.92,6.835,2,93.03,6.97,0.865
NR17C2aF89P014,Otobi,2020,446.5,2.22,6.675,5,92.725,7.275,0.865