Year,Location,Genotype,AMYLOSE,Crude Fiber
2020,Otobi,IITA-TMS-IBA30572,11.385,0.67
2020,Otobi,NR17C2aF103P001,12.382,2.67
2020,Otobi,NR17C2aF10P002,9.362,1.67
2020,Otobi,NR17C2aF10P006,11.023,2.33
2020,Otobi,NR17C2aF10P017,13.771,2
2020,Otobi,NR17C2aF10P025,13.046,1.67
2020,Otobi,NR17C2aF114P002,14.194,2
2020,Otobi,NR17C2aF121P001,14.164,2
2020,Otobi,NR17C2aF12P001,11.144,2
2020,Otobi,NR17C2aF13P001,10.177,3
2020,Otobi,NR17C2aF14P016,10.449,1.67
2020,Otobi,NR17C2aF15P016,9.151,3.33
2020,Otobi,NR17C2aF16P013,9.211,2
2020,Otobi,NR17C2aF21P004,10.842,1.67
2020,Otobi,NR17C2aF28P002,12.986,2.67
2020,Otobi,NR17C2aF33P002,12.835,1.67
2020,Otobi,NR17C2aF54P010,9.936,2
2020,Otobi,NR17C2aF60P006,8.547,2
2020,Otobi,NR17C2aF60P009,9.513,2.67
2020,Otobi,NR17C2aF61P003,10.026,2
2020,Otobi,NR17C2aF62P020,11.204,2
2020,Otobi,NR17C2aF62P027,11.053,2
2020,Otobi,NR17C2aF65P017,13.379,1.67
2020,Otobi,NR17C2aF65P027,14.496,3
2020,Otobi,NR17C2aF6P044,12.775,2.33
2020,Otobi,NR17C2aF70P007,13.077,1.67
2020,Otobi,NR17C2aF79P005,10.691,1.67
2020,Otobi,NR17C2aF7P007,12.382,2.67
2020,Otobi,NR17C2aF7P062,10.449,2.33
2020,Otobi,NR17C2aF81P002,8.547,3
2020,Otobi,NR17C2aF83P018,13.318,2.67
2020,Otobi,NR17C2aF89P003,14.103,2.33
2020,Otobi,NR17C2aF89P014,12.201,2.33
2020,Otobi,NR17C2aF89P028,12.201,2.67
2020,Otobi,NR17C2aF89P084,16.248,3
2020,Otobi,NR17C2aF90P008,12.05,2
2020,Otobi,NR17C2aF97P002,10.419,2
2020,Otobi,NR17C2aF99P002,10.087,1.67
2020,Otobi,TMEB419,8.577,1.67
2020,Otobi,TMEB7,10.389,2
2020,Umudike,IITA-TMS-IBA30572,10.63,1
2020,Umudike,NR17C2aF10P002,17.305,1.33
2020,Umudike,NR17C2aF10P017,15.402,1.67
2020,Umudike,NR17C2aF10P025,14.647,1.33
2020,Umudike,NR17C2aF10P036,11.597,2.67
2020,Umudike,NR17C2aF114P002,8.758,2.33
2020,Umudike,NR17C2aF121P001,10.661,1.67
2020,Umudike,NR17C2aF12P001,12.533,2
2020,Umudike,NR17C2aF13P001,10.298,2
2020,Umudike,NR17C2aF15P016,12.412,2
2020,Umudike,NR17C2aF16P013,13.197,0.67
2020,Umudike,NR17C2aF1P009,13.379,2.66
2020,Umudike,NR17C2aF21P004,10.208,1.33
2020,Umudike,NR17C2aF28P002,15.644,2.33
2020,Umudike,NR17C2aF46P005,10.359,1.66
2020,Umudike,NR17C2aF54P010,11.325,1.67
2020,Umudike,NR17C2aF60P015,9.453,2.67
2020,Umudike,NR17C2aF61P003,8.365,2
2020,Umudike,NR17C2aF62P027,4.621,1.33
2020,Umudike,NR17C2aF65P027,12.05,4
2020,Umudike,NR17C2aF6P044,10.359,2
2020,Umudike,NR17C2aF70P007,7.822,2
2020,Umudike,NR17C2aF7P007,7.339,2
2020,Umudike,NR17C2aF82P008,10.238,1.67
2020,Umudike,NR17C2aF87P011,9.271,2.67
2020,Umudike,NR17C2aF89P002,10.57,2
2020,Umudike,NR17C2aF89P010,9.634,2
2020,Umudike,NR17C2aF89P028,10.208,2.33
2020,Umudike,NR17C2aF89P084,11.023,3.33
2020,Umudike,NR17C2aF97P002,9.664,1.67
2020,Umudike,TMEB7,17.305,2.33