Genotypes,Swelling index,swelling power,WAC,Bulk Density
NR17C2aF103P001,1.804,7.08,418,0.741
NR17C2aF10P001,2.661,10.644,569,0.847
NR17C2aF10P002,1.526,8.978,307,0.699
NR17C2aF10P006,2.42,9.341,474,0.857
NR17C2aF10P011,2.394,7.857,503,0.81
NR17C2aF10P016,2.2,10.311,446,0.789
NR17C2aF10P021,,9.667,,
NR17C2aF10P025,2.143,8.144,459,0.852
NR17C2aF114P002,3.75,8.22,582,0.811
NR17C2aF114P004,1.17,9.68,222,0.667
NR17C2aF118P001,1.712,9.929,377,0.828
NR17C2aF121P005,2.011,9.149,438,0.834
NR17C2aF12P001,,8.641,,
NR17C2aF13P001,1.571,8.449,310,0.861
NR17C2aF14P016,2.183,8.258,509,0.906
NR17C2aF15P003,,8.362,,
NR17C2aF15P011,2.25,8.118,535,0.848
NR17C2aF15P016,1.75,7.955,309,0.642
NR17C2aF15P022,2.074,8.278,376,0.733
NR17C2aF15P032,1.763,,431,0.811
NR17C2aF15P041,1.638,7.705,457,0.759
NR17C2aF16P003,2.957,8.033,576,0.8
NR17C2aF16P010,2.287,8.042,535,0.811
NR17C2aF16P013,2.241,,481,0.862
NR17C2aF18P008,1.729,7.744,498,0.667
NR17C2aF18P018,1.746,8.714,397,0.858
NR17C2aF19P002,2.034,8.583,420,0.766
NR17C2aF1P003,3,8.074,555,0.808
NR17C2aF1P006,,10.19,,
NR17C2aF21P004,2.462,11.267,519,0.77
NR17C2aF27P001,2.464,10.769,545,0.857
NR17C2aF28P002,1.92,,408,0.949
NR17C2aF29P001,1.955,9.898,505,0.778
NR17C2aF39P002,2.123,9.457,487,0.81
NR17C2aF49P006,1.6,9.011,320,0.776
NR17C2aF54P001,2.304,10.442,480,0.987
NR17C2aF54P002,2.121,7.934,516,0.857
NR17C2aF54P005,1.884,9.765,386,0.811
NR17C2aF54P010,2.264,8.36,499,0.906
NR17C2aF54P012,2.546,8.946,542,0.834
NR17C2aF5P017,2.455,10.453,469,0.952
NR17C2aF5P026,2.18,10.826,377,0.903
NR17C2aF60P003,1.926,9.354,526,0.81
NR17C2aF60P006,2.374,,518,0.734
NR17C2aF60P007,,7.365,,
NR17C2aF60P009,1.409,10.205,280,0.839
NR17C2aF60P010,1.267,,241,0.725
NR17C2aF60P015,1.815,7.012,325,0.667
NR17C2aF60P019,2.613,8.367,460,0.741
NR17C2aF60P020,2.28,7.207,435,0.76
NR17C2aF61P003,1.983,7.723,424,0.808
NR17C2aF61P004,2.143,8.18,467,0.867
NR17C2aF61P008,1.886,10.36,426,0.901
NR17C2aF61P010,2.437,8.947,542,0.882
NR17C2aF61P011,2.042,7.581,392,0.857
NR17C2aF61P013,2.38,9.319,442,0.938
NR17C2aF61P015,2.817,9.011,539,0.791
NR17C2aF61P016,2.072,10.109,432,0.787
NR17C2aF62P020,3.043,9.931,531,0.858
NR17C2aF62P024,2.364,7.551,468,0.862
NR17C2aF62P027,2.295,9.484,401,0.936
NR17C2aF65P009,,10.146,,
NR17C2aF65P010,1.768,10.264,413,0.792
NR17C2aF65P017,1.561,10.371,277,0.879
NR17C2aF65P031,1.581,10.091,,
NR17C2aF66P014,2.197,10.102,582,0.855
NR17C2aF69P009,2.286,9.256,494,0.714
NR17C2aF6P005,1.833,7.418,372,0.756
NR17C2aF6P007,2.158,11.115,413,0.845
NR17C2aF6P030,2.55,8.67,497,0.764
NR17C2aF6P037,1.781,9.833,484,0.822
NR17C2aF6P044,2.164,8.674,469,0.841
NR17C2aF6P045,2.352,8.912,,
NR17C2aF70P007,2,8.637,522,0.857
NR17C2aF70P008,1.935,9.151,426,0.938
NR17C2aF79P001,1.986,8.156,567,0.792
NR17C2aF79P005,2.321,7.773,314,0.702
NR17C2aF79P008,2.88,9.467,563,0.836
NR17C2aF79P016,2,8.242,402,0.816
NR17C2aF7P007,2.233,8.264,470,0.789
NR17C2aF7P008,1.915,10.344,292,0.837
NR17C2aF7P023,,8.078,,
NR17C2aF7P030,1.882,9.36,460,0.761
NR17C2aF7P036,2.3,8.73,421,0.822
NR17C2aF7P044,1.714,8.216,410,1.121
NR17C2aF7P045,1.203,,232,0.681
NR17C2aF7P050,2.209,9.159,620,0.758
NR17C2aF7P052,2.08,10.66,371,0.835
NR17C2aF7P058,2.645,8.888,615,0.777
NR17C2aF7P065,,9.128,,
NR17C2aF7P070,,10.862,,
NR17C2aF81P003,2.826,9.963,498,0.718
NR17C2aF82P008,2.048,8.495,508,0.714
NR17C2aF83P010,2.66,8.647,524,0.791
NR17C2aF83P018,1.66,9.378,348,0.725
NR17C2aF84P004,1.817,8.247,456,0.772
NR17C2aF87P010,1.886,7.88,471,0.717
NR17C2aF89P002,1.882,11,459,0.812
NR17C2aF89P003,2.107,9.495,315,0.912
NR17C2aF89P009,1.879,10.449,447,0.85
NR17C2aF89P010,1.49,9.053,282,0.919
NR17C2aF89P018,2.729,10.716,531,0.824
NR17C2aF89P020,1.86,10.326,384,0.769
NR17C2aF89P028,1.924,8.385,542,0.833
NR17C2aF89P034,1.793,8.12,395,0.926
NR17C2aF89P050,1.562,8.4,439,0.913
NR17C2aF89P054,,8.477,,
NR17C2aF89P058,2.183,,474,0.803
NR17C2aF89P067,2.139,8.817,450,0.743
NR17C2aF89P069,2,8.8,547,0.753
NR17C2aF89P071,2.56,9.078,467,0.882
NR17C2aF89P088,2.22,9,403,0.842
NR17C2aF89P096,1.483,10.761,370,0.719
NR17C2aF90P001,2.115,8.436,464,0.709
NR17C2aF90P007,,9.587,,
NR17C2aF90P008,2.05,8.12,477,0.761
NR17C2aF91P004,2.82,10.091,529,0.774
NR17C2aF91P006,1.449,7.667,488,0.78
NR17C2aF92P001,1.886,8.063,451,0.714
NR17C2aF92P003,1.747,8.464,482,0.823
NR17C2aF92P005,2.52,9.167,529,0.731
NR17C2aF93P010,2.625,7.287,575,0.759
NR17C2aF94P013,1.843,8.256,528,0.698
NR17C2aF95P003,2.273,8.736,481,0.833
NR17C2aF95P009,2.232,8.659,580,0.667
NR17C2aF95P011,1.543,8.714,402,0.75
NR17C2aF97P002,2.351,8.021,483,0.742
NR17C2aF98P001,2.132,8.158,550,0.752
NR17C2aF99P002,1.932,8.423,411,0.852
NR17C2aF9P010,1.985,9.576,521,0.833
NR17C2aF9P013,1.434,8.233,414,0.713
TMEB419,2.304,10.352,505,0.923
TMEB7 ,1.719,10.278,435,0.759